City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,Katsuura,JP,75.22,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
211,Methoni,GR,75.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
213,Barao De Melgaco,BR,73.94,broken clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
214,Awbari,LY,77.54,clear sky,26.5921,12.7805,فندق أوباري
216,Ambulu,ID,77.65,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
217,Xuddur,SO,70.52,overcast clouds,4.1213,43.8894,Banjanay Hotel
219,San Patricio,US,87.84,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
221,Popondetta,PG,83.5,overcast clouds,-8.7537,148.2534,Timos Transit House
222,La Tebaida,CO,71.37,thunderstorm,4.4527,-75.7875,El Triángulo
226,Aswan,EG,82.15,broken clouds,24.0934,32.907,Nuba Nile
227,Shahdol,IN,78.04,overcast clouds,23.2833,81.35,Railway Officers Rest House Shahdol
228,Marmande,FR,72.75,clear sky,44.5,0.1667,Hôtel Restaurant Campanile Marmande
230,Baglung,NP,73.24,clear sky,28.2719,83.5898,Hotel Peace Palace
231,Sinnamary,GF,77.54,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
232,Luganville,VU,83.03,broken clouds,-15.5333,167.1667,The Espiritu Hotel
234,Hoquiam,US,72.84,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
235,Balkhash,KZ,70.41,clear sky,46.844,74.9804,Family
236,Touros,BR,75.34,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
238,Caravelas,BR,70.11,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
240,Mahibadhoo,MV,83.37,overcast clouds,3.7833,72.9667,Omadhoo Inn
242,Zhob,PK,74.01,overcast clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
243,San Quintin,MX,70.16,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
248,Hambantota,LK,78.84,overcast clouds,6.1241,81.1185,Bungalow 63
249,Gunjur,GM,80.67,scattered clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
250,Gizo,SB,83.62,overcast clouds,-8.103,156.8419,Imagination Island
251,Lorengau,PG,81.54,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
252,Mokolo,CM,73.67,overcast clouds,10.7398,13.8019,Diwa Hôtel
256,Peniche,PT,71.08,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
257,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
258,Sahibganj,IN,84.79,light rain,25.25,87.65,hotel
259,Kushima,JP,84.9,moderate rain,31.4583,131.2333,Hanaoka
260,Nautanwa,IN,89.15,scattered clouds,27.4333,83.4167,Plot: S S Srivastava
262,Puerto Narino,CO,73.04,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
263,Luoyang,CN,78.8,overcast clouds,34.6836,112.4536,易家国际青年旅舍
264,Kulhudhuffushi,MV,82.13,heavy intensity rain,6.6221,73.07,Haajy Guest House 1
268,Snyder,US,86.34,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
271,Poum,NC,72.55,clear sky,-20.2333,164.0167,
272,Tiznit,MA,78.33,clear sky,29.5833,-9.5,
274,Valley City,US,70.32,broken clouds,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
275,Thiruvananthapuram,IN,78.78,light intensity drizzle,8.4833,76.9167,Hotel Residency Tower
277,Sicamous,CA,77.88,broken clouds,50.8331,-118.9856,Best Western Sicamous Inn
280,Phuket,TH,86.09,light rain,8.0,98.25,The Surin
282,Marawi,PH,78.26,overcast clouds,7.9986,124.2928,Derogongan Residence
284,Kavos,GR,76.21,clear sky,38.8268,22.8322,Kavos Villa
287,La Maddalena,IT,73.45,clear sky,41.2142,9.4083,Hotel Il Gabbiano
289,Biltine,TD,79.27,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
290,Sola,VU,80.28,scattered clouds,-13.8833,167.55,Leumerus Bungalows
291,Minot,US,80.82,clear sky,48.2325,-101.2963,Noble Inn
299,Tagusao,PH,82.56,moderate rain,9.1924,117.8141,Caycay future beach resort
300,Nortelandia,BR,73.8,clear sky,-14.4547,-56.8028,Pousada e Restaurante Santana
305,Gorontalo,ID,75.27,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
306,Mangan,IN,80.24,clear sky,27.5167,88.5333,Hotel Mout View
307,Zyryanka,RU,71.76,few clouds,65.75,150.85,
308,Dhidhdhoo,MV,82.15,moderate rain,6.8833,73.1,Dhidhoo beach
315,Faanui,PF,77.4,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
317,Yuanping,CN,80.08,few clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
318,Solnechnyy,RU,71.38,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
320,Mayo,US,82.4,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
321,Havelock,US,82.38,few clouds,34.8791,-76.9013,Sherwood Motel
322,Port Moresby,PG,80.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
324,Ilebo,CD,73.83,broken clouds,-4.3167,20.5833,Hôtel BUMAK
325,Barra Dos Coqueiros,BR,75.22,scattered clouds,-10.9089,-37.0386,Quality Hotel Aracaju
327,Seoul,KR,81.79,scattered clouds,37.5683,126.9778,Lotte Hotel Seoul
328,Makhachkala,RU,77.02,overcast clouds,42.9764,47.5024,Argo
329,Circleville,US,77.14,scattered clouds,39.6006,-82.946,"Holiday Inn Express & Suites Circleville, an IHG Hotel"
330,Dawei,MM,76.75,overcast clouds,14.0833,98.2,Hotel Dawei
331,Shaunavon,CA,82.18,clear sky,49.6501,-108.4181,Bear's Den Lodge
332,Champerico,GT,80.74,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
336,Cam Ranh,VN,85.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
337,Namie,JP,75.97,overcast clouds,37.4833,141.0,いこいの村なみえ
338,Itoman,JP,88.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
339,Tautira,PF,75.97,scattered clouds,-17.7333,-149.15,Pension Oaoa
340,Lodja,CD,73.83,overcast clouds,-3.4833,23.4333,
341,Kadoma,JP,83.64,light rain,34.7333,135.5833,Hotel Agora Osaka Moriguchi
342,Fare,PF,76.93,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
346,Bose,IT,74.21,clear sky,45.4612,8.0137,Locanda Borgo Antico
347,Kavieng,PG,82.38,moderate rain,-2.5744,150.7967,Nusa Island Retreat
348,Ariquemes,BR,76.21,scattered clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
349,Ciudad Valles,MX,81.19,overcast clouds,21.9833,-99.0167,Hotel Mision Ciudad Valles
350,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
351,Clemson,US,80.82,clear sky,34.6834,-82.8374,Courtyard by Marriott Clemson
353,Cairns,AU,71.11,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
356,Hamilton,US,78.24,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
357,Kudal,IN,78.46,overcast clouds,16.0333,73.6833,Coconut Hotel
358,Locri,IT,73.31,clear sky,38.2414,16.2623,Grand Hotel President
360,Port Keats,AU,72.79,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
361,Ajdabiya,LY,73.44,clear sky,30.7554,20.2263,Almadina Hotel
363,Kieta,PG,85.75,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
366,Phangnga,TH,84.24,overcast clouds,8.4509,98.5298,Sunimit Mansion
367,Karpathos,GR,71.56,clear sky,35.507,27.2132,Alex
373,Marzuq,YE,78.35,light rain,14.4,46.4667,
375,San Pedro De Macoris,DO,81.21,overcast clouds,18.4616,-69.2972,Apartahotel Guaraguao
379,Ixtapa,MX,85.23,thunderstorm,20.7,-105.2,hotel la terminal
380,Bonfim,BR,75.27,overcast clouds,3.0833,-59.95,
